Year,Location,Treatment,HarvestNumber,time,N_application.kg.ha,P_application.kg.ha,K_application.kg.ha,DMLeaves#g.DM.m2,DMstems$g.DM.m2,DMRoots#g.DM.m2,Biomass#g.DM.m2,NUP_L#g.m2,NUP_ST#g.m2,NUP_SO#g.m2,NUP#g.m2,PUP_L#g.m2,PUP_ST#g.m2,PUP_SO#g.m2,PUP#g.m2,KUP_L#g.m2,KUP_ST#g.m2,KUP_SO#g.m2,KUP#g.m2,std_DMLeaves#g.DM.m2,std_DMstems#g.DM.m2,std_DMRoots#g.DM.m2,std_Biomass#g.DM.m2,std_NUP_L#g.m2,std_NUP_ST#g.m2,std_NUP_SO#g.m2,std_NUP#g.m2,std_PUP_L#g.m2,std_PUP_ST#g.m2,std_PUP_SO#g.m2,std_PUP#g.m2,std_KUP_L#g.m2,std_KUP_ST#g.m2,std_KUP_SO#g.m2,std_KUP#g.m2
2016,Benue,Control,1,379,0,0,0,13.52951389,13.60416667,89.11197917,116.2456597,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.176413365,0.781458306,18.58778517,15.12108816,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,Benue,Control,2,455,0,0,0,4.103703707,12.69351854,116.1361111,132.9333333,0.135843356,0.070158979,0.507976909,0.713979244,0.007897248,0.007276273,0.072493439,0.087666961,0.035097956,0.044456846,0.74143992,0.820994722,1.591502567,6.876224187,80.02450087,85.14470336,0.052682909,0.038005921,0.350025485,0.359963162,0.003062719,0.00394164,0.049952175,0.051867273,0.013611725,0.024082782,0.510895009,0.524586262
2016,Benue,Control,3,645,0,0,0,45.365625,226.4288194,858.6523439,1130.446788,2.040063295,1.473822453,2.817012927,6.330898675,0.125315602,0.142681317,0.494601112,0.762598031,0.539292042,1.11399193,6.247831748,7.90111572,7.858655537,20.98500543,267.1464992,272.531842,0.35339874,0.136591147,0.876437533,1.164487771,0.021708334,0.013223441,0.153881785,0.169422538,0.093421184,0.103242718,1.9438442,2.005005202
2016,Benue,N0PfKf,3,645,0,100,300,79.7780258,270.6535217,1004.127604,1354.559152,3.180913558,1.583118997,3.228429783,7.992462338,0.207115182,0.21813329,0.611293536,1.036542007,1.098866535,1.620667607,8.340281561,11.0598157,31.79823807,64.03093465,402.4510558,489.598915,1.267860988,0.374532681,1.293944086,2.889719683,0.08255278,0.051605752,0.245004448,0.372440162,0.437990528,0.383415893,3.34275754,4.110131724
2016,Benue,NfP0Kf,3,645,300,0,300,138.6545139,523.5677083,1003.320313,1665.542535,5.613144854,4.554644319,4.093833093,14.26162227,0.277421858,0.200894574,0.480676755,0.958993187,2.079915662,2.288466871,7.896017205,12.26439974,87.15514545,241.0847556,590.5622501,903.8763681,3.528298087,2.097255608,2.40966245,7.802693121,0.174381213,0.092504978,0.28293013,0.532638904,1.307388753,1.053759557,4.647658009,6.839892534
2016,Benue,NfPfK0,3,645,300,100,0,136.0416667,735.2864584,1931.510417,2802.838542,5.45819646,4.506040319,5.886310986,15.85054777,0.261116952,0.478079792,1.072136003,1.811332747,1.545413353,3.112038017,11.97556732,16.63301869,52.2401805,125.3865687,256.414897,416.1642471,2.095954682,0.768403834,0.781428778,3.395359555,0.100269256,0.081525756,0.142329878,0.301397434,0.593440778,0.530688093,1.589799274,2.547001637
2016,Benue,NfPfK1,3,645,300,100,240,126.025463,595.490162,1451.801215,2173.316841,5.632326647,4.344370042,4.83835168,14.81504837,0.342944968,0.432904079,0.876906779,1.652755825,1.764034613,3.791327479,11.42551111,16.9808732,74.6185956,204.9569219,646.1899964,864.5864394,3.334852293,1.495253437,2.153527922,6.497969673,0.203054774,0.148997738,0.390307145,0.682266354,1.044469762,1.304906209,5.085442072,6.922344997
2016,Benue,NfPfK2,1,379,300,100,180,60.95659722,60.03645833,234.0078125,355.000868,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.01719518,5.433015686,26.93929786,42.27399042,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,Benue,NfPfK2,2,455,300,100,180,11.31574078,64.48425923,261.8038195,337.6038195,0.450185449,0.516765779,1.567857612,2.534808839,0.023758288,0.057522093,0.193015067,0.274295449,0.12884874,0.29647572,1.983068398,2.408392858,2.956469911,9.852467406,88.26794094,100.0697879,0.117620204,0.078955982,0.528607884,0.707576091,0.006207341,0.008788727,0.065075607,0.078776564,0.033664382,0.045298146,0.668597443,0.740037633
2016,Benue,NfPfK2,3,645,300,100,180,141.3315972,779.8865741,1928.177083,2849.395255,5.840208024,4.431027338,4.780725018,15.05196038,0.313615699,0.411706201,1.171045553,1.896367453,1.837863032,4.288596965,14.290665,20.41712499,49.57767503,106.0920577,251.5887182,309.5631352,2.048685088,0.60277587,0.623789428,2.69971829,0.110013171,0.056006552,0.152798128,0.226615137,0.644703506,0.58340032,1.864647247,2.28238944
